TimeStampMillis,TimeStampFormatted,Wifi_A,eduroam,Wifi_A_5G,Wifi_D_5G,Wifi_C_5G,Wifi_B_5G,Wifi_D,Wifi_B,Wifi_C
1691485738498,(08/08/2023)_16/08/58,-38,-95,-44,-52,-45,-48,-45,-36,-36
1691485621011,(08/08/2023)_16/07/01,-40,-69,-80,-49,-45,-53,-47,-40,-38
1691485689274,(08/08/2023)_16/08/09,-37,-93,-44,-50,-45,-49,-44,-36,-36
1691485661923,(08/08/2023)_16/07/41,-37,-93,-44,-49,-45,-48,-48,-35,-37
1691485656204,(08/08/2023)_16/07/36,-34,-78,-44,-50,-46,-49,-44,-37,-36
1691485668361,(08/08/2023)_16/07/48,-38,-84,-45,-48,-45,-49,-48,-37,-36
1691485698532,(08/08/2023)_16/08/18,-40,-93,-44,-49,-45,-49,-46,-37,-36
1691485805148,(08/08/2023)_16/10/05,-35,-93,-46,-51,-45,-49,-45,-37,-37
1691485634197,(08/08/2023)_16/07/14,-37,-92,-45,-50,-45,-49,-46,-38,-33
1691485750929,(08/08/2023)_16/09/10,-35,-94,-44,-51,-45,-51,-47,-36,-35
1691485722773,(08/08/2023)_16/08/42,-38,-68,-44,-51,-45,-50,-46,-37,-37
1691485763495,(08/08/2023)_16/09/23,-38,-58,-44,-49,-45,-49,-46,-35,-37
1691485842373,(08/08/2023)_16/10/42,-37,-93,-44,-50,-47,-49,-47,-37,-36
1691485827315,(08/08/2023)_16/10/27,-38,-93,-44,-51,-46,-49,-43,-35,-36
1691485614774,(08/08/2023)_16/06/54,-37,-72,-41,-49,-45,-53,-44,-40,-42
1691485840051,(08/08/2023)_16/10/40,-41,-69,-44,-52,-45,-49,-45,-36,-36
1691485745041,(08/08/2023)_16/09/05,-39,-94,-44,-48,-44,-50,-44,-37,-37
1691485789634,(08/08/2023)_16/09/49,-38,-69,-45,-48,-46,-49,-41,-38,-35
1691485821431,(08/08/2023)_16/10/21,-39,-48,-44,-52,-46,-49,-48,-36,-36
1691485611371,(08/08/2023)_16/06/51,-35,-73,-46,-51,-47,-49,-46,-39,-37
1691485759950,(08/08/2023)_16/09/19,-38,-93,-44,-51,-45,-49,-48,-39,-37
1691485747995,(08/08/2023)_16/09/07,-38,-70,-43,-51,-47,-49,-46,-35,-37
1691485719612,(08/08/2023)_16/08/39,-37,-68,-44,-49,-45,-49,-44,-32,-32
1691485836440,(08/08/2023)_16/10/36,-38,-73,-45,-51,-45,-48,-45,-36,-36
1691485779714,(08/08/2023)_16/09/39,-38,-69,-45,-49,-47,-49,-44,-37,-36
1691485801913,(08/08/2023)_16/10/01,-38,-94,-44,-47,-45,-48,-43,-36,-36
1691485851754,(08/08/2023)_16/10/51,-37,-68,-46,-50,-49,-49,-45,-38,-36
1691485734909,(08/08/2023)_16/08/54,-38,-69,-45,-52,-45,-50,-46,-36,-36
1691485643525,(08/08/2023)_16/07/23,-36,-69,-44,-50,-46,-49,-46,-35,-36
1691485677466,(08/08/2023)_16/07/57,-36,-93,-46,-49,-45,-49,-46,-39,-35
1691485713349,(08/08/2023)_16/08/33,-37,-88,-44,-50,-45,-49,-48,-37,-39
1691485812231,(08/08/2023)_16/10/12,-38,-94,-45,-51,-45,-49,-45,-38,-37
1691485728500,(08/08/2023)_16/08/48,-38,-94,-44,-50,-47,-49,-45,-37,-37
1691485795880,(08/08/2023)_16/09/55,-43,-92,-44,-48,-45,-50,-42,-38,-37
1691485630037,(08/08/2023)_16/07/10,-40,-89,-46,-48,-47,-49,-44,-36,-34
1691485766524,(08/08/2023)_16/09/26,-39,-94,-46,-50,-45,-49,-44,-36,-37
1691485769420,(08/08/2023)_16/09/29,-38,-93,-45,-48,-45,-49,-44,-34,-37
1691485680250,(08/08/2023)_16/08/00,-38,-66,-44,-49,-45,-49,-48,-37,-37
1691485637273,(08/08/2023)_16/07/17,-40,-94,-44,-49,-45,-49,-49,-38,-38
1691485754159,(08/08/2023)_16/09/14,-37,-70,-44,-51,-46,-48,-45,-36,-36
1691485793050,(08/08/2023)_16/09/53,-40,-92,-45,-49,-43,-50,-42,-37,-37
1691485716285,(08/08/2023)_16/08/36,-39,-69,-46,-50,-46,-48,-48,-36,-36
1691485782710,(08/08/2023)_16/09/42,-37,-92,-44,-50,-45,-48,-33,-36,-37
1691485626350,(08/08/2023)_16/07/06,-36,-68,-44,-48,-45,-49,-44,-35,-38
1691485607955,(08/08/2023)_16/06/47,-36,-93,-45,-51,-45,-52,-47,-37,-34
1691485731999,(08/08/2023)_16/08/51,-37,-66,-44,-47,-45,-49,-46,-36,-34
1691485652688,(08/08/2023)_16/07/32,-40,-69,-44,-48,-45,-49,-47,-37,-37
1691485674455,(08/08/2023)_16/07/54,-36,-68,-44,-49,-46,-49,-46,-38,-36
