TimeStampMillis,Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
"1,69149E+12",-52,-44,-46,-48,-45,-49,-43,-47
"1,69149E+12",-53,-48,-51,-60,-48,-44,-45,-46
"1,69149E+12",-48,-45,-46,-48,-52,-46,-41,-45
"1,69149E+12",-46,-49,-54,-75,-48,-46,-40,-45
"1,69149E+12",-53,-45,-55,-50,-51,-49,-45,-45
"1,69149E+12",-50,-46,-45,-47,-46,-49,-45,-43
"1,69149E+12",-52,-48,-50,-53,-53,-48,-43,-46
"1,69149E+12",-48,-46,-52,-48,-60,-50,-45,-47
"1,69149E+12",-50,-43,-46,-50,-52,-46,-43,-46
"1,69149E+12",-52,-45,-45,-47,-45,-45,-43,-48
"1,69149E+12",-56,-44,-49,-54,-47,-45,-47,-45
"1,69149E+12",-51,-50,-44,-48,-48,-45,-43,-44
"1,69149E+12",-49,-42,-47,-48,-50,-50,-44,-48
"1,69149E+12",-54,-46,-54,-53,-50,-51,-45,-47
"1,69149E+12",-49,-46,-44,-47,-55,-48,-43,-44
"1,69149E+12",-53,-43,-51,-52,-55,-48,-43,-48
"1,69149E+12",-51,-45,-48,-52,-51,-47,-48,-45
"1,69149E+12",-51,-45,-51,-48,-48,-43,-44,-47
"1,69149E+12",-49,-46,-51,-50,-50,-44,-44,-43
"1,69149E+12",-52,-46,-51,-53,-50,-48,-44,-47
"1,69149E+12",-50,-47,-49,-48,-55,-46,-42,-45
"1,69149E+12",-51,-50,-49,-54,-54,-48,-43,-45
"1,69149E+12",-58,-47,-50,-51,-54,-57,-46,-47
"1,69149E+12",-49,-50,-46,-48,-51,-55,-44,-47
"1,69149E+12",-53,-50,-43,-50,-45,-46,-47,-43
"1,69149E+12",-50,-42,-52,-48,-50,-53,-44,-44
"1,69149E+12",-52,-44,-45,-52,-52,-51,-46,-46
"1,69149E+12",-50,-37,-52,-46,-53,-50,-45,-43
"1,69149E+12",-50,-42,-44,-48,-45,-51,-41,-46
"1,69149E+12",-52,-38,-45,-49,-49,-46,-42,-48
"1,69149E+12",-52,-44,-46,-48,-45,-49,-43,-47
"1,69149E+12",-53,-48,-51,-60,-48,-44,-45,-46
"1,69149E+12",-48,-45,-46,-48,-52,-46,-41,-45
"1,69149E+12",-46,-49,-54,-75,-48,-46,-40,-45
"1,69149E+12",-53,-45,-55,-50,-51,-49,-45,-45
"1,69149E+12",-50,-46,-45,-47,-46,-49,-45,-43
"1,69149E+12",-52,-48,-50,-53,-53,-48,-43,-46
"1,69149E+12",-48,-46,-52,-48,-60,-50,-45,-47
"1,69149E+12",-50,-43,-46,-50,-52,-46,-43,-46
"1,69149E+12",-52,-45,-45,-47,-45,-45,-43,-48
