Column,Mean,Median,Maximum
Wifi_C_5G,-54.7952380952381,-55.0,-48
Wifi_C_5G,-50.5,-51.0,-45
Wifi_C_5G,-53.60476190476191,-53.0,-50
Wifi_C_5G,-49.8,-50.0,-47
Wifi_C_5G,-53.766666666666666,-54.0,-50
Wifi_C_5G,-51.21428571428572,-51.0,-50
Wifi_C_5G,-53.83809523809524,-53.0,-52
Wifi_C_5G,-47.28095238095238,-47.0,-43
Wifi_C_5G,-55.01428571428571,-55.0,-47
Wifi_C_5G,-49.87619047619047,-50.0,-47
Wifi_C_5G,-53.98571428571429,-54.0,-50
Wifi_C_5G,-52.38095238095238,-52.0,-51
Wifi_C_5G,-53.38095238095238,-53.5,-52
Wifi_C_5G,-52.56190476190476,-53.0,-45
Wifi_C_5G,-52.75238095238095,-53.0,-47
Wifi_C_5G,-47.87619047619047,-48.0,-46
Wifi_C_5G,-53.08095238095238,-52.5,-51
Wifi_C_5G,-51.07142857142857,-51.0,-49
Wifi_C_5G,-51.35714285714285,-51.0,-49
Wifi_C_5G,-50.7047619047619,-51.0,-46
Wifi_C_5G,-51.40476190476191,-52.0,-45
Wifi_C_5G,-41.05714285714286,-41.0,-39
Wifi_C_5G,-51.23333333333333,-51.0,-45
Wifi_C_5G,-45.37619047619047,-45.0,-43
Wifi_C_5G,-52.84285714285714,-53.0,-51
Wifi_C_5G,-49.70952380952381,-50.0,-45
Wifi_C_5G,-50.642857142857146,-51.0,-49
Wifi_C_5G,-53.58571428571429,-53.0,-51
Wifi_C_5G,-50.15714285714286,-50.0,-46
Wifi_C_5G,-51.03333333333333,-51.0,-49
Wifi_C_5G,-52.833333333333336,-53.0,-50
Wifi_C_5G,-42.680952380952384,-42.0,-39
Wifi_C_5G,-53.49523809523809,-52.0,-49
Wifi_C_5G,-51.1,-51.0,-48
Wifi_C_5G,-45.52857142857143,-45.0,-43
Wifi_C_5G,-41.97142857142857,-42.0,-40
Wifi_C_5G,-40.114285714285714,-40.0,-38
Wifi_C_5G,-50.35238095238096,-50.0,-42
Wifi_C_5G,-45.44285714285714,-45.0,-42
Wifi_C_5G,-46.82380952380952,-47.0,-41
Wifi_C_5G,-52.99523809523809,-53.0,-49
Wifi_C_5G,-42.41428571428571,-42.0,-40
Wifi_C_5G,-47.595238095238095,-47.0,-41
